Longitude	Latitude	ptemp_fi [degree Celsius] @ ptemp_fi [degree Celsius]=first
322.722146	7.211027	-10000000000.00000
322.734544	7.211027	-10000000000.00000
322.746931	7.211027	-10000000000.00000
322.759306	7.211027	-10000000000.00000
322.771670	7.211027	-10000000000.00000
322.784022	7.211027	-10000000000.00000
322.796364	7.211027	-10000000000.00000
322.808695	7.211027	-10000000000.00000
322.821015	7.211027	-10000000000.00000
322.833325	7.211027	-10000000000.00000
322.845624	7.211027	-10000000000.00000
322.857914	7.211027	-10000000000.00000
322.870193	7.211027	-10000000000.00000
322.882463	7.211027	-10000000000.00000
322.894723	7.211027	-10000000000.00000
322.906974	7.211027	-10000000000.00000
322.919215	7.211027	-10000000000.00000
322.931448	7.211027	-10000000000.00000
322.943671	7.211027	-10000000000.00000
322.955886	7.211027	-10000000000.00000
322.968092	7.211027	-10000000000.00000
322.980289	7.211027	-10000000000.00000
322.992478	7.211027	-10000000000.00000
323.004659	7.211027	-10000000000.00000
323.016832	7.211027	-10000000000.00000
323.028998	7.211027	-10000000000.00000
323.041155	7.211027	-10000000000.00000
323.053305	7.211027	-10000000000.00000
323.065447	7.211027	-10000000000.00000
323.077583	7.211027	-10000000000.00000
323.089711	7.211027	2.14907
323.101832	7.211027	2.14646
323.113946	7.211027	2.14385
323.126054	7.211027	2.14122
323.138155	7.211027	2.13855
323.150250	7.211027	2.13582
323.162339	7.211027	2.13297
323.174421	7.211027	2.12995
323.186498	7.211027	2.12672
323.198568	7.211027	2.12319
323.210633	7.211027	2.11932
323.222693	7.211027	2.11501
323.234747	7.211027	2.11021
323.246796	7.211027	2.10486
323.258839	7.211027	2.09883
323.270878	7.211027	2.09195
323.282912	7.211027	2.08426
323.294941	7.211027	2.07580
323.306966	7.211027	2.06660
323.318986	7.211027	2.05669
323.331002	7.211027	2.04583
323.343013	7.211027	2.03350
323.355021	7.211027	2.02048
323.367025	7.211027	2.00760
323.379025	7.211027	1.99566
323.391021	7.211027	1.98556
323.403014	7.211027	1.97951
323.415003	7.211027	1.97520
323.426989	7.211027	1.96936
323.438972	7.211027	1.95878
323.450953	7.211027	1.94010
323.462930	7.211027	1.91391
323.474904	7.211027	1.88688
323.486876	7.211027	1.86552
323.498845	7.211027	1.85642
323.510812	7.211027	1.85713
323.522777	7.211027	1.86293
323.534740	7.211027	1.87273
323.546701	7.211027	1.88551
323.558660	7.211027	1.89956
323.570617	7.211027	1.91264
323.582572	7.211027	1.92545
323.594527	7.211027	1.93853
323.606479	7.211027	1.95144
323.618431	7.211027	-10000000000.00000
323.630381	7.211027	-10000000000.00000
323.642331	7.211027	-10000000000.00000
323.654280	7.211027	-10000000000.00000
323.666228	7.211027	-10000000000.00000
323.678175	7.211027	-10000000000.00000
323.690122	7.211027	-10000000000.00000
323.702069	7.211027	-10000000000.00000
323.714015	7.211027	-10000000000.00000
323.725962	7.211027	-10000000000.00000
323.737908	7.211027	-10000000000.00000
323.749854	7.211027	-10000000000.00000
323.761801	7.211027	-10000000000.00000
323.773748	7.211027	-10000000000.00000
323.785696	7.211027	-10000000000.00000
323.797645	7.211027	-10000000000.00000
323.809594	7.211027	-10000000000.00000
323.821544	7.211027	-10000000000.00000
323.833495	7.211027	-10000000000.00000
323.845448	7.211027	-10000000000.00000
323.857401	7.211027	-10000000000.00000
323.869356	7.211027	-10000000000.00000
323.881313	7.211027	2.17964
323.893271	7.211027	2.17765
323.905231	7.211027	-10000000000.00000
323.917193	7.211027	-10000000000.00000
323.929157	7.211027	-10000000000.00000
323.941123	7.211027	-10000000000.00000
323.953091	7.211027	-10000000000.00000
323.965062	7.211027	-10000000000.00000
323.977035	7.211027	-10000000000.00000
323.989011	7.211027	-10000000000.00000
324.000990	7.211027	-10000000000.00000
324.012972	7.211027	-10000000000.00000
324.024957	7.211027	-10000000000.00000
324.036944	7.211027	-10000000000.00000
324.048936	7.211027	-10000000000.00000
324.060930	7.211027	-10000000000.00000
324.072928	7.211027	-10000000000.00000
324.084930	7.211027	-10000000000.00000
324.096936	7.211027	-10000000000.00000
324.108946	7.211027	-10000000000.00000
324.120959	7.211027	-10000000000.00000
324.132977	7.211027	2.10516
324.145000	7.211027	2.10103
324.157026	7.211027	2.09721
324.169058	7.211027	2.09379
324.181094	7.211027	2.09082
324.193134	7.211027	2.08834
324.205180	7.211027	2.08636
324.217231	7.211027	2.08490
324.229288	7.211027	2.08397
324.241349	7.211027	2.08356
324.253416	7.211027	2.08367
324.265489	7.211027	2.08420
324.277568	7.211027	2.08507
324.289652	7.211027	2.08621
324.301743	7.211027	-10000000000.00000
324.313840	7.211027	-10000000000.00000
324.325943	7.211027	-10000000000.00000
324.338053	7.211027	-10000000000.00000
324.350169	7.211027	-10000000000.00000
324.362292	7.211027	-10000000000.00000
324.374422	7.211027	-10000000000.00000
324.386559	7.211027	-10000000000.00000
324.398703	7.211027	-10000000000.00000
324.410855	7.211027	2.06224
324.423014	7.211027	2.06183
324.435180	7.211027	2.06166
324.447355	7.211027	2.06181
324.459537	7.211027	2.06230
324.471728	7.211027	2.06321
324.483926	7.211027	2.06464
324.496133	7.211027	2.06668
324.508349	7.211027	2.06927
324.520573	7.211027	2.07233
324.532806	7.211027	2.07591
324.545048	7.211027	2.08003
324.557299	7.211027	2.08462
324.569559	7.211027	2.08955
324.581829	7.211027	2.09472
324.594108	7.211027	2.09985
324.606397	7.211027	2.10494
324.618696	7.211027	-10000000000.00000
324.631005	7.211027	-10000000000.00000
324.643324	7.211027	-10000000000.00000
324.655654	7.211027	-10000000000.00000
324.667994	7.211027	-10000000000.00000
324.680345	7.211027	-10000000000.00000
324.692707	7.211027	-10000000000.00000
324.705079	7.211027	-10000000000.00000
324.717463	7.211027	-10000000000.00000
324.729859	7.211027	-10000000000.00000
324.742266	7.211027	-10000000000.00000
324.754685	7.211027	-10000000000.00000
324.767115	7.211027	-10000000000.00000
324.779558	7.211027	-10000000000.00000
324.792013	7.211027	-10000000000.00000
324.804480	7.211027	-10000000000.00000
324.816960	7.211027	-10000000000.00000
324.829453	7.211027	-10000000000.00000
324.841959	7.211027	-10000000000.00000
324.854478	7.211027	-10000000000.00000
324.867010	7.211027	-10000000000.00000
324.879556	7.211027	-10000000000.00000
324.892116	7.211027	-10000000000.00000
324.904689	7.211027	-10000000000.00000
324.917277	7.211027	-10000000000.00000
324.929879	7.211027	-10000000000.00000
324.942495	7.211027	-10000000000.00000
324.955127	7.211027	-10000000000.00000
324.967773	7.211027	-10000000000.00000
324.980434	7.211027	-10000000000.00000
324.993111	7.211027	-10000000000.00000
325.005803	7.211027	-10000000000.00000
325.018511	7.211027	2.04061
325.031235	7.211027	2.05136
325.043975	7.211027	2.06214
325.056731	7.211027	-10000000000.00000
325.069504	7.211027	-10000000000.00000
325.082294	7.211027	-10000000000.00000
325.095101	7.211027	-10000000000.00000
325.107925	7.211027	-10000000000.00000
325.120767	7.211027	-10000000000.00000
325.133626	7.211027	-10000000000.00000
325.146503	7.211027	-10000000000.00000
